7.001286725479756;0.0	9.67473776776038;0.0	9.067203822161376;0.0	9.7132023133422;0.0	8.253946689177482;0.0	
8.956357298643377;0.0	10.133432404589353;0.0	9.935318701222526;0.0	8.624829454411245;0.0	8.253940348369474;0.0	
8.486883448077059;0.0	9.616204611789309;0.0	9.10967643894602;0.0	8.71166939492611;0.0	7.970951018122715;0.0	
8.384378798517254;0.0	10.021769814380155;0.0	8.58639497680689;0.0	8.853976016348412;0.0	8.302662025796241;0.0	
8.46492456143801;0.0	9.62792492403158;0.0	9.588808063375048;0.0	8.90344459366931;0.0	9.061598099139951;0.0	
7.4618858789287;0.0	9.944901222876474;0.0	8.772624852599632;0.0	9.334569130462114;0.0	8.359091850603683;0.0	
8.93622293680509;0.0	9.93268169104659;0.0	8.744870312600103;0.0	8.008524553458276;0.0	7.359146684818465;0.0	
8.933142378458898;0.0	9.662202196739267;0.0	8.054437963272505;0.0	7.329995985765525;0.0	7.641898868257941;0.0	
8.033922832700421;0.0	10.067408692009664;0.0	7.909455491320167;0.0	7.577781145524196;0.0	8.300220264686544;0.0	
9.755884215019995;0.0	10.030811530245593;0.0	9.108379927459403;0.0	9.419345541866829;0.0	9.405689678013731;0.0	
9.620091164082996;0.0	8.818866820338933;0.0	8.179803097998715;0.0	8.45044713707009;0.0	8.543211219948457;0.0	
9.51699852349305;0.0	10.45679432320697;0.0	8.001571618301313;0.0	7.327014977746525;0.0	8.467152982957014;0.0	
10.291935559907035;0.0	10.807098069662;0.0	8.046645254384844;0.0	7.8535378479358355;0.0	8.084350389445513;0.0	
10.423322992248359;0.0	10.39035879202864;0.0	9.137434492176261;0.0	8.393904466574018;0.0	7.694847941506991;0.0	
9.59923973472815;0.0	9.587860116598591;0.0	9.037928221402355;0.0	8.111096280579426;0.0	7.008485156596125;0.0	
8.93051814801314;0.0	8.935001307832266;0.0	8.770111760484376;0.0	7.843123498382097;0.0	8.082919389462194;0.0	
8.258162763361582;0.0	8.069837673163802;0.0	7.254657315778202;0.0	6.2506392964059385;0.0	6.489427390569456;0.0	
8.632844679561751;0.0	8.586567327149242;0.0	7.286458952922641;0.0	6.528221703511826;0.0	6.633346366255077;0.0	
8.904871860354746;0.0	8.606569417631178;0.0	7.049160709327307;0.0	5.9435049726474585;0.0	6.478222242091639;0.0	
6.543382333464649;0.0	8.82081471012337;0.0	6.658666415000042;0.0	6.422449495524174;0.0	6.196494756260816;0.0	
9.48183314153379;0.0	10.004757775577664;0.0	9.355479637870504;0.0	9.472483583643731;0.0	9.750556633096759;0.0	
7.707896975221332;0.0	9.127972572706174;0.0	8.819585868832322;0.0	8.201314973216506;0.0	8.496266224504675;0.0	
6.7466875933627355;0.0	9.06763956946369;0.0	8.587304200408482;0.0	7.954921712673799;0.0	7.398983429655562;0.0	
8.702214833030292;0.0	9.041840509843729;0.0	7.90512411067852;0.0	8.19792685896203;0.0	6.840899031160431;0.0	
8.350380060246465;0.0	7.39993088759333;0.0	6.523068574749241;0.0	6.399061070414066;0.0	5.99255314354842;0.0	
5.846737305301628;0.0	7.618044980611831;0.0	6.504338351225925;0.0	6.792979144013431;0.0	6.259625653452353;0.0	
8.732522098287703;0.0	9.025074500374123;0.0	8.421859111025638;0.0	8.140156356065022;0.0	8.163321513617685;0.0	
7.553466779726515;0.0	10.043721603075719;0.0	7.550511982404165;0.0	7.2775968644181495;0.0	6.8461285908346285;0.0	
8.170004650143545;0.0	9.547595782274493;0.0	7.900032942944252;0.0	7.393073939561446;0.0	6.9235690807277495;0.0	
8.823583498622506;0.0	9.926060255049316;0.0	7.451240018244357;0.0	7.457686806287479;0.0	7.640761287325093;0.0	
6.83926220944881;0.0	10.093294825300124;0.0	7.99008607662817;0.0	7.294304565518391;0.0	9.062468520255273;0.0	
9.127192684515709;0.0	10.284011472357312;0.0	8.953259859428389;0.0	9.402572168702918;0.0	9.561683503302971;0.0	
8.043802121464871;0.0	8.936404119957365;0.0	8.136742398733395;0.0	8.339707099966889;0.0	8.760958185295332;0.0	
9.35994837539806;0.0	10.240399892244982;0.0	7.751561775000103;0.0	7.666940040884449;0.0	8.612041069680284;0.0	
9.706177035391143;0.0	10.316073167198368;0.0	8.25909208492302;0.0	7.495414583405248;0.0	8.203683876638266;0.0	
7.835692332846752;0.0	10.09723625427012;0.0	8.141435572698729;0.0	7.303946717167205;0.0	7.909803167949158;0.0	
7.763837560734821;0.0	8.212703831282676;0.0	7.500662814369458;0.0	6.8474769865584975;0.0	6.747702772838758;0.0	
8.214315739294065;0.0	8.813253630442201;0.0	7.9575447796240635;0.0	7.625601464559719;0.0	8.360944862586363;0.0	
7.50718285280885;0.0	7.794409065357465;0.0	6.708632905525054;0.0	5.9256797016156995;0.0	7.895636503837732;0.0	
8.019121669497752;0.0	8.026332981608869;0.0	7.232332287462681;0.0	5.515466121705846;0.0	7.466170621474241;0.0	
7.072994331638744;0.0	8.550587765664428;0.0	6.623032161612276;0.0	5.570075558432941;0.0	7.2995485864034;0.0	
8.085119980826684;0.0	7.422463352048208;0.0	5.787137534102841;0.0	5.347620607142491;0.0	5.56944728325134;0.0	
9.363917808508571;0.0	10.00724198026009;0.0	9.233367004320652;0.0	9.241747698165765;0.0	9.380357902244029;0.0	
8.625050288388634;0.0	9.889581195201268;0.0	8.11750121621356;0.0	8.662261125776741;0.0	8.755698414375846;0.0	
6.033557414363054;0.0	9.932279136727617;0.0	7.59159706513613;0.0	7.646293602213493;0.0	8.001702307597164;0.0	
9.366402627620209;0.0	9.422445449501579;0.0	8.435860594549403;0.0	7.8326497572228275;0.0	7.511513034611546;0.0	
7.766470932223361;0.0	8.595553024026776;0.0	8.34743915485858;0.0	7.354081981691967;0.0	7.349384421917266;0.0	
8.023294314451578;0.0	8.328080825112837;0.0	7.828985178144415;0.0	6.9038004575358585;0.0	6.995176026538086;0.0	
8.186972110994185;0.0	9.032020077269722;0.0	8.056782150233342;0.0	8.101698831403652;0.0	8.27291679461883;0.0	
7.056796335019008;0.0	8.592005211598181;0.0	8.024623758239988;0.0	7.14590732612511;0.0	7.946913135782173;0.0	
6.869793774139518;0.0	9.949011839567758;0.0	9.751618387988362;0.0	7.739485958211694;0.0	7.2336156664411835;0.0	
8.461166712926827;0.0	9.09290969173021;0.0	7.936783218151299;0.0	7.396824266440689;0.0	7.269166904889863;0.0	
7.551714606301293;0.0	8.656057501891091;0.0	7.776806766814923;0.0	7.231863858744535;0.0	7.499508523789453;0.0	
9.18233901032308;0.0	10.2944229920722;0.0	9.707503440184999;0.0	8.538492474361558;0.0	8.154942623118583;0.0	
8.16156020576965;0.0	10.764936043118231;0.0	8.637017820613526;0.0	7.574920331491809;0.0	7.838873484318548;0.0	
7.419071043490059;0.0	10.720717584622347;0.0	9.63900192599775;0.0	8.752986658219736;0.0	7.719749559824284;0.0	
9.647778079504736;0.0	10.055227452736789;0.0	7.805548272435981;0.0	7.849245984667336;0.0	8.364482378640611;0.0	
8.949549751882643;0.0	9.08405234392136;0.0	7.904008573742946;0.0	8.140655029570807;0.0	7.449652308892235;0.0	
